"Date","Monthly amounts outstanding of total sterling net secured lending to individuals (in sterling millions) seasonally adjusted              [a] [b] [c] [d] [e] [f]             LPMVTXK","Quarterly amounts outstanding of total sterling net secured lending to individuals (in sterling millions) seasonally adjusted              [g] [b]             LPQVTXK"
"30 Apr 26","1713051","n/a"
"31 Mar 26","1709648","1709648"
"28 Feb 26","1702839","n/a"
"31 Jan 26","1697572","n/a"
"31 Dec 25","1692996","1692996"
"30 Nov 25","1688729","n/a"
"31 Oct 25","1686046","n/a"
"30 Sep 25","1681661","1681661"
"31 Aug 25","1677455","n/a"
"31 Jul 25","1673123","n/a"
"30 Jun 25","1669131","1669131"
"31 May 25","1666556","n/a"
"30 Apr 25","1664547","n/a"
"31 Mar 25","1665789","1665789"
"28 Feb 25","1652339","n/a"
"31 Jan 25","1648474","n/a"
"31 Dec 24","1643460","1643460"
"30 Nov 24","1642066","n/a"
"31 Oct 24","1639343","n/a"
"30 Sep 24","1636561","1636561"
"31 Aug 24","1634129","n/a"
"31 Jul 24","1631273","n/a"
"30 Jun 24","1628710","1628710"
"31 May 24","1626299","n/a"
"30 Apr 24","1625168","n/a"
"31 Mar 24","1622953","1622953"
"29 Feb 24","1622259","n/a"
"31 Jan 24","1620283","n/a"
"31 Dec 23","1619194","1619194"
"30 Nov 23","1620076","n/a"
"31 Oct 23","1620512","n/a"
"30 Sep 23","1619941","1619941"
"31 Aug 23","1620922","n/a"
"31 Jul 23","1619825","n/a"
"30 Jun 23","1619531","1619531"
"31 May 23","1619529","n/a"
"30 Apr 23","1619349","n/a"
"31 Mar 23","1620576","1620576"
"28 Feb 23","1621767","n/a"
"31 Jan 23","1620797","n/a"
"31 Dec 22","1618432","1618432"
"30 Nov 22","1615682","n/a"
"31 Oct 22","1612265","n/a"
"30 Sep 22","1609182","1609182"
"31 Aug 22","1601004","n/a"
"31 Jul 22","1597599","n/a"
"30 Jun 22","1596636","1596636"
"31 May 22","1591642","n/a"
"30 Apr 22","1585283","n/a"
"31 Mar 22","1581562","1581562"
"28 Feb 22","1573734","n/a"
"31 Jan 22","1568427","n/a"
"31 Dec 21","1562121","1562121"
"30 Nov 21","1558498","n/a"
"31 Oct 21","1554863","n/a"
"30 Sep 21","1552319","1552319"
"31 Aug 21","1546773","n/a"
"31 Jul 21","1543139","n/a"
"30 Jun 21","1545702","1545702"
"31 May 21","1528619","n/a"
"30 Apr 21","1523815","n/a"
"31 Mar 21","1520595","1520595"
"28 Feb 21","1509136","n/a"
"31 Jan 21","1505351","n/a"
"31 Dec 20","1499021","1499021"
"30 Nov 20","1492466","n/a"
"31 Oct 20","1485504","n/a"
"30 Sep 20","1479834","1479834"
"31 Aug 20","1475075","n/a"
"31 Jul 20","1471884","n/a"
"30 Jun 20","1469141","1469141"
"31 May 20","1467282","n/a"
"30 Apr 20","1466972","n/a"
"31 Mar 20","1466757","1466757"
"29 Feb 20","1461849","n/a"
"31 Jan 20","1456763","n/a"
"31 Dec 19","1452686","1452686"
"30 Nov 19","1446082","n/a"
"31 Oct 19","1441976","n/a"
"30 Sep 19","1437285","1437285"
"31 Aug 19","1433367","n/a"
"31 Jul 19","1430067","n/a"
"30 Jun 19","1425650","1425650"
"31 May 19","1422185","n/a"
"30 Apr 19","1419178","n/a"
"31 Mar 19","1415116","1415116"
"28 Feb 19","1415183","n/a"
"31 Jan 19","1411029","n/a"
"31 Dec 18","1407456","1407456"
"30 Nov 18","1403784","n/a"
"31 Oct 18","1400181","n/a"
"30 Sep 18","1392987","1392987"
"31 Aug 18","1389816","n/a"
"31 Jul 18","1386354","n/a"
"30 Jun 18","1382712","1382712"
"31 May 18","1379125","n/a"
"30 Apr 18","1376009","n/a"
"31 Mar 18","1377764","1377764"
"28 Feb 18","1373738","n/a"
"31 Jan 18","1370812","n/a"
"31 Dec 17","1367607","1367607"
"30 Nov 17","1364715","n/a"
"31 Oct 17","1360711","n/a"
"30 Sep 17","1357257","1357257"
"31 Aug 17","1353411","n/a"
"31 Jul 17","1349587","n/a"
"30 Jun 17","1346307","1346307"
"31 May 17","1341713","n/a"
"30 Apr 17","1337462","n/a"
"31 Mar 17","1334536","1334536"
"28 Feb 17","1330464","n/a"
"31 Jan 17","1326364","n/a"
"31 Dec 16","1322657","1322657"
"30 Nov 16","1321121","n/a"
"31 Oct 16","1319899","n/a"
"30 Sep 16","1316479","1316479"
"31 Aug 16","1312967","n/a"
"31 Jul 16","1309973","n/a"
"30 Jun 16","1307120","1307120"
"31 May 16","1305077","n/a"
"30 Apr 16","1302421","n/a"
"31 Mar 16","1301747","1301747"
"29 Feb 16","1294580","n/a"
"31 Jan 16","1291088","n/a"
