Date,Consumer_Credit_Outstanding_GBP_bn
28/02/1994,53.138
31/03/1994,53.484
30/04/1994,53.926
31/05/1994,53.89
30/06/1994,54.646
31/07/1994,55.045
31/08/1994,55.513
30/09/1994,55.965
31/10/1994,56.417
30/11/1994,56.86
31/12/1994,57.548
31/01/1995,60.771
28/02/1995,61.401
31/03/1995,62.099
30/04/1995,62.653
31/05/1995,62.828
30/06/1995,63.579
31/07/1995,64.228
31/08/1995,64.866
30/09/1995,65.457
31/10/1995,66.239
30/11/1995,66.782
31/12/1995,67.647
31/01/1996,68.056
29/02/1996,68.721
31/03/1996,69.44
30/04/1996,70.404
31/05/1996,70.972
30/06/1996,71.496
31/07/1996,72.379
31/08/1996,73.333
30/09/1996,74.614
31/10/1996,75.541
30/11/1996,76.424
31/12/1996,76.747
31/01/1997,77.765
28/02/1997,79.101
31/03/1997,79.28
30/04/1997,80.163
31/05/1997,81.273
30/06/1997,82.172
31/07/1997,82.554
31/08/1997,83.649
30/09/1997,83.882
31/10/1997,84.954
30/11/1997,86.048
31/12/1997,87.214
31/01/1998,88.161
28/02/1998,89.35
31/03/1998,91.796
30/04/1998,92.559
31/05/1998,94.028
30/06/1998,95.114
31/07/1998,96.128
31/08/1998,97.287
30/09/1998,98.354
31/10/1998,99.638
30/11/1998,100.758
31/12/1998,101.347
31/01/1999,102.38
28/02/1999,103.547
31/03/1999,105.65
30/04/1999,106.66
31/05/1999,107.699
30/06/1999,108.626
31/07/1999,109.807
31/08/1999,110.752
30/09/1999,112.041
31/10/1999,113.087
30/11/1999,114.252
31/12/1999,115.164
31/01/2000,116.502
29/02/2000,117.667
31/03/2000,119.021
30/04/2000,119.675
31/05/2000,121.066
30/06/2000,121.844
31/07/2000,122.77
31/08/2000,123.3
30/09/2000,124.276
31/10/2000,125.401
30/11/2000,126.37
31/12/2000,127.136
31/01/2001,127.972
28/02/2001,129.109
31/03/2001,129.039
30/04/2001,130.321
31/05/2001,131.846
30/06/2001,132.954
31/07/2001,134.092
31/08/2001,135.193
30/09/2001,136.032
31/10/2001,137.5
30/11/2001,138.931
31/12/2001,140.534
31/01/2002,142.037
28/02/2002,143.365
31/03/2002,144.249
30/04/2002,145.542
31/05/2002,146.662
30/06/2002,147.301
31/07/2002,148.733
31/08/2002,151.18
30/09/2002,152.782
31/10/2002,154.401
30/11/2002,155.413
31/12/2002,156.728
31/01/2003,157.701
28/02/2003,154.637
31/03/2003,156.088
30/04/2003,157.348
31/05/2003,159.084
30/06/2003,160.662
31/07/2003,162.086
31/08/2003,163.266
30/09/2003,164.009
31/10/2003,165.215
30/11/2003,166.056
31/12/2003,166.052
31/01/2004,167.498
29/02/2004,169.093
31/03/2004,169.905
30/04/2004,171.36
31/05/2004,172.571
30/06/2004,174.231
31/07/2004,176.063
31/08/2004,176.983
30/09/2004,177.978
31/10/2004,179.148
30/11/2004,180.873
31/12/2004,181.816
31/01/2005,183.657
28/02/2005,184.809
31/03/2005,186.271
30/04/2005,186.815
31/05/2005,187.891
30/06/2005,189.055
31/07/2005,189.56
31/08/2005,190.56
30/09/2005,190.737
31/10/2005,191.348
30/11/2005,191.659
31/12/2005,191.59
31/01/2006,192.186
28/02/2006,191.986
31/03/2006,191.398
30/04/2006,191.587
31/05/2006,191.964
30/06/2006,191.365
31/07/2006,191.282
31/08/2006,191.414
30/09/2006,191.28
31/10/2006,191.285
30/11/2006,190.906
31/12/2006,190.899
31/01/2007,191.004
28/02/2007,190.82
31/03/2007,190.943
30/04/2007,191.065
31/05/2007,191.047
30/06/2007,190.951
31/07/2007,191.418
31/08/2007,191.688
30/09/2007,192.994
31/10/2007,195.058
30/11/2007,195.442
31/12/2007,195.701
31/01/2008,202.025
29/02/2008,203.016
31/03/2008,203.204
30/04/2008,203.327
31/05/2008,204.008
30/06/2008,203.08
31/07/2008,207.75
31/08/2008,207.941
30/09/2008,208.311
31/10/2008,205.312
30/11/2008,204.578
31/12/2008,203.586
31/01/2009,188.688
28/02/2009,188.542
31/03/2009,187.015
30/04/2009,186.657
31/05/2009,186.964
30/06/2009,185.859
31/07/2009,184.97
31/08/2009,183.003
30/09/2009,182.655
31/10/2009,181.56
30/11/2009,180.609
31/12/2009,179.562
31/01/2010,188.846
28/02/2010,186.296
31/03/2010,183.81
30/04/2010,182.292
31/05/2010,180.291
30/06/2010,178.824
31/07/2010,178.043
31/08/2010,176.954
30/09/2010,175.796
31/10/2010,175.136
30/11/2010,173.472
31/12/2010,172.602
31/01/2011,171.201
28/02/2011,170.277
31/03/2011,168.84
30/04/2011,168.205
31/05/2011,166.821
30/06/2011,166.144
31/07/2011,165.245
31/08/2011,164.735
30/09/2011,163.494
31/10/2011,162.562
30/11/2011,161.824
31/12/2011,160.583
31/01/2012,160.539
29/02/2012,159.588
31/03/2012,159.605
30/04/2012,158.311
31/05/2012,158.033
30/06/2012,158.173
31/07/2012,157.439
31/08/2012,156.784
30/09/2012,157.259
31/10/2012,156.462
30/11/2012,155.739
31/12/2012,157.05
31/01/2013,156.632
28/02/2013,156.38
31/03/2013,156.157
30/04/2013,156.112
31/05/2013,156.351
30/06/2013,156.409
31/07/2013,157.797
31/08/2013,158.249
30/09/2013,158.565
31/10/2013,158.414
30/11/2013,158.459
31/12/2013,158.387
31/01/2014,159.191
28/02/2014,159.421
31/03/2014,160.141
30/04/2014,160.449
31/05/2014,160.963
30/06/2014,161.089
31/07/2014,162.1
31/08/2014,162.687
30/09/2014,165.093
31/10/2014,167.922
30/11/2014,168.368
31/12/2014,168.941
31/01/2015,171.493
28/02/2015,171.156
31/03/2015,172.598
30/04/2015,173.104
31/05/2015,173.759
30/06/2015,174.498
31/07/2015,176.152
31/08/2015,176.819
30/09/2015,176.218
31/10/2015,177.263
30/11/2015,178.171
31/12/2015,178.848
31/01/2016,180.211
29/02/2016,181.371
31/03/2016,183.058
30/04/2016,183.75
31/05/2016,184.889
30/06/2016,186.261
31/07/2016,187.095
31/08/2016,188.328
30/09/2016,189.057
31/10/2016,190.433
30/11/2016,192.361
31/12/2016,193.205
31/01/2017,194.403
28/02/2017,195.994
31/03/2017,197.704
30/04/2017,198.562
31/05/2017,200.02
30/06/2017,200.923
31/07/2017,201.985
31/08/2017,203.187
30/09/2017,204.652
31/10/2017,206.013
30/11/2017,207.345
31/12/2017,208.722
31/01/2018,209.089
28/02/2018,210.871
31/03/2018,211.672
30/04/2018,212.93
31/05/2018,214.165
30/06/2018,215.249
31/07/2018,215.747
31/08/2018,216.639
30/09/2018,217.888
31/10/2018,217.962
30/11/2018,218.649
31/12/2018,219.079
31/01/2019,219.978
28/02/2019,219.942
31/03/2019,220.637
30/04/2019,221.057
31/05/2019,221.51
30/06/2019,222.052
31/07/2019,222.134
31/08/2019,224.128
30/09/2019,224.498
31/10/2019,225.034
30/11/2019,225.314
31/12/2019,224.313
31/01/2020,224.938
29/02/2020,225.206
31/03/2020,221.358
30/04/2020,212.615
31/05/2020,207.893
30/06/2020,206.691
31/07/2020,207.594
31/08/2020,207.573
30/09/2020,206.577
31/10/2020,205.627
30/11/2020,203.29
31/12/2020,202.193
31/01/2021,200.057
28/02/2021,198.607
31/03/2021,198.257
30/04/2021,196.724
31/05/2021,197.39
30/06/2021,197.332
31/07/2021,198.047
31/08/2021,198.539
30/09/2021,198.69
31/10/2021,197.374
30/11/2021,198.216
31/12/2021,198.464
31/01/2022,198.523
28/02/2022,199.498
31/03/2022,200.396
30/04/2022,201.709
31/05/2022,202.438
30/06/2022,203.179
31/07/2022,204.339
31/08/2022,204.912
30/09/2022,205.421
31/10/2022,206.027
30/11/2022,206.775
31/12/2022,206.856
31/01/2023,209.154
28/02/2023,210.505
31/03/2023,211.751
30/04/2023,213.256
31/05/2023,213.789
30/06/2023,215.237
31/07/2023,216.157
31/08/2023,217.377
30/09/2023,218.552
31/10/2023,219.67
30/11/2023,221.386
31/12/2023,219.484
31/01/2024,221.17
29/02/2024,222.148
31/03/2024,223.37
30/04/2024,226.962
31/05/2024,228.611
30/06/2024,229.636
31/07/2024,230.533
31/08/2024,231.439
30/09/2024,232.54
31/10/2024,232.616
30/11/2024,232.554
31/12/2024,233.598
31/01/2025,234.835
28/02/2025,235.832
31/03/2025,236.03
30/04/2025,237.439
31/05/2025,238.154
30/06/2025,239.348
31/07/2025,240.758
31/08/2025,242.143
30/09/2025,243.205
31/10/2025,244.533
30/11/2025,246.267
31/12/2025,247.86
31/01/2026,249.381
28/02/2026,250.565
31/03/2026,252.036
30/04/2026,253.31
31/05/2026,254.784
