Quarter,Rate_Type,Rate_Percent
2007 Q1,Fixed Rate,5.348
2007 Q2,Fixed Rate,5.542
2007 Q3,Fixed Rate,5.772
2007 Q4,Fixed Rate,6.013
2008 Q1,Fixed Rate,5.923
2008 Q2,Fixed Rate,5.82
2008 Q3,Fixed Rate,6.116
2008 Q4,Fixed Rate,6.052
2009 Q1,Fixed Rate,5.305
2009 Q2,Fixed Rate,4.739
2009 Q3,Fixed Rate,4.798
2009 Q4,Fixed Rate,4.993
2010 Q1,Fixed Rate,4.904
2010 Q2,Fixed Rate,4.702
2010 Q3,Fixed Rate,4.552
2010 Q4,Fixed Rate,4.376
2011 Q1,Fixed Rate,4.237
2011 Q2,Fixed Rate,4.432
2011 Q3,Fixed Rate,4.239
2011 Q4,Fixed Rate,3.94
2012 Q1,Fixed Rate,3.99
2012 Q2,Fixed Rate,4.223
2012 Q3,Fixed Rate,4.331
2012 Q4,Fixed Rate,4.1
2013 Q1,Fixed Rate,3.797
2013 Q2,Fixed Rate,3.576
2013 Q3,Fixed Rate,3.399
2013 Q4,Fixed Rate,3.304
2014 Q1,Fixed Rate,3.317
2014 Q2,Fixed Rate,3.352
2014 Q3,Fixed Rate,3.428
2014 Q4,Fixed Rate,3.368
2015 Q1,Fixed Rate,3.11
2015 Q2,Fixed Rate,2.915
2015 Q3,Fixed Rate,2.794
2015 Q4,Fixed Rate,2.724
2016 Q1,Fixed Rate,2.66
2016 Q2,Fixed Rate,2.599
2016 Q3,Fixed Rate,2.52
2016 Q4,Fixed Rate,2.379
2017 Q1,Fixed Rate,2.292
2017 Q2,Fixed Rate,2.273
2017 Q3,Fixed Rate,2.198
2017 Q4,Fixed Rate,2.17
2018 Q1,Fixed Rate,2.177
2018 Q2,Fixed Rate,2.249
2018 Q3,Fixed Rate,2.272
2018 Q4,Fixed Rate,2.267
2019 Q1,Fixed Rate,2.29
2019 Q2,Fixed Rate,2.269
2019 Q3,Fixed Rate,2.223
2019 Q4,Fixed Rate,2.134
2020 Q1,Fixed Rate,2.056
2020 Q2,Fixed Rate,1.964
2020 Q3,Fixed Rate,1.938
2020 Q4,Fixed Rate,2.056
2021 Q1,Fixed Rate,2.169
2021 Q2,Fixed Rate,2.197
2021 Q3,Fixed Rate,2.138
2021 Q4,Fixed Rate,1.905
2022 Q1,Fixed Rate,1.87
2022 Q2,Fixed Rate,2.143
2022 Q3,Fixed Rate,2.685
2022 Q4,Fixed Rate,3.388
2023 Q1,Fixed Rate,4.169
2023 Q2,Fixed Rate,4.508
2023 Q3,Fixed Rate,4.728
2023 Q4,Fixed Rate,5.217
2024 Q1,Fixed Rate,4.897
2024 Q2,Fixed Rate,4.764
2024 Q3,Fixed Rate,4.829
2024 Q4,Fixed Rate,4.615
2025 Q1,Fixed Rate,4.592
2025 Q2,Fixed Rate,4.585
2025 Q3,Fixed Rate,4.436
2025 Q4,Fixed Rate,4.344
2026 Q1,Fixed Rate,4.261
2007 Q1,Variable Rate,5.882
2007 Q2,Variable Rate,6.051
2007 Q3,Variable Rate,6.251
2007 Q4,Variable Rate,6.137
2008 Q1,Variable Rate,5.874
2008 Q2,Variable Rate,5.834
2008 Q3,Variable Rate,6.111
2008 Q4,Variable Rate,4.327
2009 Q1,Variable Rate,2.914
2009 Q2,Variable Rate,2.749
